champ,role,winrate,banrate,pickrate,rank,change
Gragas,TOP,53.79,0.32,0.78,plattogm,no change
Gragas,SUPPORT,46.05,0.41,0.43,plattogm,no change
Graves,JUNGLE,51.54,9.51,9.04,plattogm,no change
Graves,MID,56.03,9.51,2.3,plattogm,no change
Gwen,JUNGLE,56.35,5.14,0.6,plattogm,buff
Gwen,TOP,47.05,5.14,3.25,plattogm,buff
Hecarim,JUNGLE,51.78,2.24,3.9,plattogm,no change
Heimerdinger,MID,54.48,0.5,0.68,plattogm,no change
Heimerdinger,TOP,55,0.5,0.63,plattogm,no change
Heimerdinger,ADC,55.02,0.62,0.37,plattogm,no change
Illaoi,TOP,49.04,2.02,1.88,plattogm,no change
Irelia,TOP,49.99,43.68,7.88,plattogm,no change
Irelia,MID,51.87,43.68,6.01,plattogm,no change
Ivern,JUNGLE,53.43,0.34,1.26,plattogm,no change
Janna,SUPPORT,50.43,0.31,4.72,plattogm,no change
Jarvan IV,JUNGLE,53.41,8.47,10.52,plattogm,no change
Jax,TOP,51.62,6.05,6.09,plattogm,no change
Jax,JUNGLE,48.23,5.38,0.8,plattogm,no change
Jayce,TOP,46.21,1.1,3.89,plattogm,no change
Jayce,MID,47.08,1.1,0.91,plattogm,no change
Jhin,ADC,50.49,2.33,16.57,plattogm,no change
Jinx,ADC,50.37,0.4,7.67,plattogm,no change
Kai'Sa,ADC,48.47,1.73,13.93,plattogm,no change
Kalista,ADC,48.74,0.29,2.28,plattogm,no change
Karma,SUPPORT,48.78,1.43,8.23,plattogm,no change
Karthus,MID,52.1,1.86,0.33,plattogm,no change
Karthus,ADC,55.51,1.86,0.55,plattogm,no change
Karthus,JUNGLE,49.05,2.29,2.04,plattogm,no change
Kassadin,MID,54.34,9.84,4.43,plattogm,no change
Katarina,MID,52.94,17.13,7.91,plattogm,no change
Kayle,TOP,53.91,1.11,3.31,plattogm,no change
Kayle,MID,56.44,1.11,1.44,plattogm,no change
Kayn,JUNGLE,50.95,13.66,10.21,plattogm,no change
Kennen,TOP,49.71,1.33,3.71,plattogm,nerf
Kennen,MID,51.67,1.21,0.75,plattogm,nerf
Kha'Zix,JUNGLE,54.01,13.03,10.06,plattogm,no change
Kindred,JUNGLE,54.53,4.35,3.98,plattogm,no change
Kled,MID,53.83,1.08,0.34,plattogm,no change
Kled,TOP,50.18,1.08,2.17,plattogm,no change
Kog'Maw,ADC,53.83,0.68,2.56,plattogm,no change
Kog'Maw,MID,44.38,0.68,0.74,plattogm,no change
LeBlanc,MID,51.66,11.69,8,plattogm,no change
Lee Sin,JUNGLE,49.76,21.83,16.24,plattogm,no change
Leona,SUPPORT,52.08,17.15,9.55,plattogm,no change
Lillia,JUNGLE,51.62,2.33,5.17,plattogm,no change
Lillia,TOP,55.31,2.33,1.48,plattogm,no change
Lissandra,MID,48.48,1.04,3.67,plattogm,no change
Lucian,ADC,50.32,2.65,12.96,plattogm,no change
Lucian,MID,46.2,2.65,2.48,plattogm,no change
Lulu,SUPPORT,49.8,32.2,13.92,plattogm,no change
Lux,MID,50.71,1.12,3.29,plattogm,no change
Lux,SUPPORT,48.62,1.12,5,plattogm,no change
Malphite,TOP,50.65,5.7,4.98,plattogm,no change
Malphite,MID,44.97,5.7,0.94,plattogm,no change
Malzahar,MID,51.12,3.86,3.83,plattogm,no change
Maokai,SUPPORT,51.58,0.23,1.84,plattogm,no change
Maokai,TOP,51.35,0.22,0.49,plattogm,no change
Master Yi,JUNGLE,54.23,7.89,5.08,plattogm,no change
Miss Fortune,ADC,53.09,0.43,7.79,plattogm,no change
Mordekaiser,TOP,51.67,8.99,7.49,plattogm,buff
Morgana,SUPPORT,47.57,33.25,8.08,plattogm,no change
Nami,SUPPORT,52.51,0.48,9.16,plattogm,no change
Nasus,TOP,47.47,3.32,3.96,plattogm,no change
Nautilus,SUPPORT,49,10.94,8.14,plattogm,no change
Neeko,MID,51.17,0.19,1.14,plattogm,no change
Neeko,TOP,56.78,0.2,0.18,plattogm,no change
Neeko,SUPPORT,47.14,0.2,0.38,plattogm,no change
Nidalee,JUNGLE,47.69,2.27,4.12,plattogm,no change
Nocturne,JUNGLE,51.95,5.28,4.36,plattogm,no change
Nunu,JUNGLE,48.12,1.16,3.15,plattogm,no change
Olaf,JUNGLE,50.45,1.88,2.03,plattogm,no change
Olaf,TOP,49.87,1.6,0.26,plattogm,no change
Orianna,MID,47.77,0.2,3.56,plattogm,no change
Ornn,TOP,51.4,0.54,3.98,plattogm,no change
Pantheon,TOP,58.46,2.09,0.9,plattogm,no change
Pantheon,MID,48.61,1.91,1.9,plattogm,no change
Pantheon,SUPPORT,43.16,1.91,1.75,plattogm,no change
Poppy,JUNGLE,46.81,0.61,1.5,plattogm,buff
Poppy,TOP,47.61,0.61,1.09,plattogm,buff
Pyke,SUPPORT,48.44,9.54,8.07,plattogm,no change
Qiyana,MID,51.4,5.75,4.01,plattogm,no change
Qiyana,JUNGLE,40.12,5.75,2.46,plattogm,no change
Quinn,TOP,57.89,0.55,1.3,plattogm,no change
Quinn,MID,52.54,0.66,0.16,plattogm,no change
Rakan,SUPPORT,49.46,0.4,5.86,plattogm,no change
Rammus,JUNGLE,50.5,2.4,1.87,plattogm,no change
Rek'Sai,JUNGLE,52.64,1.01,2.27,plattogm,no change
Rell,SUPPORT,53.01,0.96,2.66,plattogm,no change
Renekton,TOP,45.46,2.37,3.13,plattogm,buff
Renekton,MID,43.84,2.34,0.52,plattogm,buff
Rengar,TOP,55.26,2.77,0.95,plattogm,no change
Rengar,JUNGLE,48.25,3.64,2.93,plattogm,no change
Riven,TOP,49.52,3.51,6.39,plattogm,no change
Riven,MID,58.2,3.12,0.63,plattogm,no change
Rumble,TOP,55.84,0.3,0.63,plattogm,no change
Rumble,MID,53.58,0.3,0.77,plattogm,no change
Rumble,JUNGLE,45.11,0.27,0.95,plattogm,no change
Ryze,MID,46.61,0.85,5.92,plattogm,nerf
Ryze,TOP,48.26,0.79,1.28,plattogm,nerf
Samira,ADC,50.18,27.16,10.66,plattogm,no change
Sejuani,JUNGLE,46.26,0.2,1.66,plattogm,buff
Senna,SUPPORT,48.86,3.91,6.5,plattogm,no change
Senna,ADC,47.52,4.05,0.98,plattogm,no change
Seraphine,MID,56.94,1.35,0.95,plattogm,buff
Seraphine,SUPPORT,49.98,1.35,4.82,plattogm,buff
Seraphine,ADC,53.74,1.35,0.68,plattogm,buff
Sett,TOP,50.9,14.36,11.39,plattogm,no change
Sett,SUPPORT,43.95,14.36,1.59,plattogm,no change
Shaco,JUNGLE,50.52,13.49,4.83,plattogm,no change
Shaco,SUPPORT,47.91,13.49,1.19,plattogm,no change
Shen,TOP,54.69,1.91,6.17,plattogm,no change
Shyvana,JUNGLE,57.08,0.29,1.81,plattogm,no change
Singed,TOP,50.63,0.65,2.7,plattogm,no change
Sion,TOP,48.41,0.27,3.61,plattogm,buff
Sivir,ADC,50,0.35,2.93,plattogm,no change
Skarner,JUNGLE,50.22,0.16,0.82,plattogm,no change
Sona,SUPPORT,54.06,0.93,5.36,plattogm,nerf
Soraka,SUPPORT,53.37,6.93,10.62,plattogm,nerf
Swain,MID,63.66,2.14,0.53,plattogm,no change
Swain,ADC,54.07,2.14,0.69,plattogm,no change
Swain,SUPPORT,47.6,2.14,2.92,plattogm,no change
Sylas,MID,51.45,7.42,8.5,plattogm,buff
Sylas,TOP,46.55,7.42,2.68,plattogm,buff
Syndra,MID,49.82,0.87,4.18,plattogm,no change
Tahm Kench,TOP,52.34,17.61,5.36,plattogm,no change
Taliyah,JUNGLE,53.55,0.76,2.05,plattogm,no change
Taliyah,MID,52.78,0.76,0.96,plattogm,no change
Talon,JUNGLE,53.87,6.81,4.02,plattogm,no change
Talon,MID,46.73,6.81,3.14,plattogm,no change
Taric,SUPPORT,49.65,0.23,1.4,plattogm,no change
Taric,JUNGLE,49.77,0.21,0.15,plattogm,no change
Teemo,TOP,42,1.77,3.27,plattogm,no change
Thresh,SUPPORT,49.79,11.05,13.92,plattogm,no change
Tristana,ADC,51.32,4.64,9.97,plattogm,no change
Trundle,JUNGLE,53.39,3.59,3.75,plattogm,no change
Trundle,TOP,53.23,3.59,2.37,plattogm,no change
Trundle,SUPPORT,49.49,3.59,0.67,plattogm,no change
Tryndamere,TOP,51.11,5.88,3.84,plattogm,no change
Tryndamere,MID,51.17,5.88,1.69,plattogm,no change
Twisted Fate,MID,48.56,0.23,3.96,plattogm,no change
Twitch,ADC,53.95,2.01,6.59,plattogm,no change
Udyr,JUNGLE,47.21,0.43,0.98,plattogm,no change
Urgot,TOP,53.46,1.83,3.91,plattogm,no change
Varus,ADC,45.55,0.51,3.86,plattogm,nerf
Vayne,ADC,53.14,14.72,15.13,plattogm,no change
Veigar,MID,54.08,0.54,2.54,plattogm,no change
Veigar,SUPPORT,52.09,0.67,0.63,plattogm,no change
Veigar,ADC,49.4,0.67,0.55,plattogm,no change
Vel'Koz,MID,51.6,0.52,1.23,plattogm,no change
Vel'Koz,SUPPORT,54.39,0.54,1.72,plattogm,no change
Vi,JUNGLE,45.73,0.38,2.44,plattogm,no change
Viego,JUNGLE,46.71,22.09,9.65,plattogm,no change
Viktor,MID,51.39,0.41,3.26,plattogm,no change
Vladimir,MID,50.6,8.07,4.77,plattogm,no change
Vladimir,TOP,50.82,7.64,1.27,plattogm,no change
Volibear,JUNGLE,52.14,1.9,2.42,plattogm,no change
Volibear,TOP,47.78,1.9,2.7,plattogm,no change
Warwick,JUNGLE,47.27,1.18,2.65,plattogm,no change
Warwick,TOP,47.54,1.27,0.82,plattogm,no change
Wukong,TOP,52.91,1.93,3.54,plattogm,no change
Wukong,JUNGLE,53.93,1.57,0.42,plattogm,no change
Xayah,ADC,52.99,0.54,5.8,plattogm,no change
Xerath,MID,50.12,2.98,2.55,plattogm,no change
Xerath,SUPPORT,50.92,2.98,3.81,plattogm,no change
Xin Zhao,JUNGLE,51.9,13.97,6.62,plattogm,no change
Yasuo,MID,52.24,23.22,11.31,plattogm,no change
Yasuo,ADC,52.25,23.22,2.15,plattogm,no change
Yasuo,TOP,44.31,23.22,2.05,plattogm,no change
Yone,MID,51.05,21.19,10.91,plattogm,no change
Yone,TOP,53.79,21.19,4.29,plattogm,no change
Yorick,TOP,55.25,1.16,2.25,plattogm,no change
Yuumi,SUPPORT,50.95,22.23,12.46,plattogm,no change
Zac,JUNGLE,52.29,2.93,4.78,plattogm,no change
Zed,MID,51.07,45.53,9.95,plattogm,no change
Zed,JUNGLE,45.72,45.53,5.01,plattogm,no change
Ziggs,MID,51.02,4.24,1.08,plattogm,no change
Ziggs,ADC,49.9,4.21,5.03,plattogm,no change
Zilean,MID,57.43,1.03,0.63,plattogm,no change
Zilean,SUPPORT,52.16,1.03,3.36,plattogm,no change
Zoe,MID,50.51,1.34,3.86,plattogm,no change
Zyra,SUPPORT,52.6,1.86,3.97,plattogm,no change
