champ,role,pickrate,winrate,banrate,rank,change
Ashe,ADC,7.9,49.93,1.68,irontogold,buff
Braum,SUPPORT,2.28,49.4,0.42,irontogold,buff
Hecarim,JUNGLE,12.35,51.57,34.86,irontogold,nerf
Ivern,JUNGLE,1.12,50.18,0.4,irontogold,nerf
Kindred,JUNGLE,2.49,46.18,0.45,irontogold,buff
Lissandra,MID,1.39,50.01,0.32,irontogold,buff
Mordekaiser,TOP,6.78,49.84,7.85,irontogold,buff
Mordekaiser,MID,0.85,53.29,7.85,irontogold,buff
Rell,SUPPORT,3.95,51.57,8.4,irontogold,nerf
Teemo,TOP,6.02,51.02,9.28,irontogold,buff
Thresh,SUPPORT,13.87,49.24,8.65,irontogold,nerf
Tristana,ADC,16.84,50.87,16.55,irontogold,nerf
Udyr,JUNGLE,6.8,51.41,24.09,irontogold,nerf
Varus,ADC,2.92,48.54,0.27,irontogold,buff
Yasuo,MID,12.15,49.53,26.85,irontogold,buff
Yasuo,TOP,3,49.46,26.85,irontogold,buff
Yasuo,ADC,1.81,49.94,26.85,irontogold,buff
Annie,MID,3.02,53.13,1.7,irontogold,nerf
Aphelios,ADC,2.67,45.91,1.08,irontogold,buff
Cassiopeia,MID,1.65,48.56,1.07,irontogold,buff
Cassiopeia,TOP,0.31,50.32,1.07,irontogold,buff
Darius,TOP,8.08,49.02,36.4,irontogold,buff
Diana,MID,5.58,52.54,5.8,irontogold,buff
Gnar,TOP,6.62,49.2,8.5,irontogold,buff
LeBlanc,MID,3,47.09,3.38,irontogold,buff
Lee Sin,JUNGLE,11.27,47.33,5.51,irontogold,buff
Mordekaiser,TOP,8.36,51.33,10.12,irontogold,buff
Mordekaiser,MID,1.08,54.78,10.12,irontogold,buff
Morgana,SUPPORT,12.02,50.4,39.07,irontogold,buff
Orianna,MID,3.84,47.12,0.53,irontogold,nerf
Thresh,SUPPORT,13.81,49.01,9.26,irontogold,nerf
Vladimir,MID,2.86,49.9,2.65,irontogold,buff
Vladimir,TOP,1.2,48.56,2.65,irontogold,buff
Zac,JUNGLE,2.35,50.74,0.61,irontogold,buff
Zed,MID,11.02,48.98,42.51,irontogold,buff
Diana,JUNGLE,8.7,54.18,13.42,irontogold,nerf
Diana,MID,6.12,53.99,13.42,irontogold,nerf
Garen,TOP,9.17,53.02,7.94,irontogold,nerf
Garen,MID,1.18,55.19,7.94,irontogold,nerf
Gragas,JUNGLE,1.77,47.54,0.37,irontogold,nerf
Gragas,TOP,0.56,47.7,0.37,irontogold,nerf
Gragas,SUPPORT,0.53,47.73,0.37,irontogold,nerf
Heimerdinger,MID,1.18,51.75,1.55,irontogold,nerf
Heimerdinger,TOP,0.93,49.95,1.55,irontogold,nerf
Heimerdinger,ADC,0.3,51.94,1.55,irontogold,nerf
Kayn,JUNGLE,9.86,48.97,8.89,irontogold,buff
Kindred,JUNGLE,2.45,46.49,0.56,irontogold,buff
Lulu,SUPPORT,10.54,49.09,8.87,irontogold,buff
Morgana,SUPPORT,11.36,50.82,45.03,irontogold,nerf
Morgana,JUNGLE,6.34,54.55,45.03,irontogold,nerf
Rumble,MID,1.3,51.21,1.32,irontogold,nerf
Rumble,TOP,2.36,47.42,1.32,irontogold,nerf
Rumble,JUNGLE,0.81,48.08,1.32,irontogold,nerf
Sett,TOP,6.4,49.33,5.2,irontogold,buff
Sett,MID,1.17,52.18,5.2,irontogold,buff
Sett,SUPPORT,1.9,46.86,5.2,irontogold,buff
Taric,SUPPORT,1.11,51.54,0.14,irontogold,buff
Trundle,JUNGLE,1.22,50.1,0.23,irontogold,buff
Trundle,TOP,0.5,50.45,0.23,irontogold,buff
Vladimir,MID,5.32,52.07,5.75,irontogold,nerf
Vladimir,TOP,2.16,51.13,5.75,irontogold,nerf
Xerath,MID,2,50.52,2.4,irontogold,buff
Xerath,SUPPORT,3.2,50.67,2.4,irontogold,buff
Bard,SUPPORT,2.9,50.61,0.46,irontogold,nerf
Darius,TOP,7.84,49.5,36.71,irontogold,nerf
Jinx,ADC,18.42,51.33,8.1,irontogold,nerf
Katarina,MID,9.19,49.85,13.3,irontogold,nerf
Kayle,MID,0.34,52.49,0.39,irontogold,buff
Kayle,TOP,2.21,50.04,0.39,irontogold,buff
Kennen,MID,0.42,52.42,0.31,irontogold,buff
Kennen,TOP,1.73,49.05,0.31,irontogold,buff
Lux,SUPPORT,12.24,49.32,6.06,irontogold,buff
Lux,MID,4.72,51.27,6.06,irontogold,buff
Talon,MID,4.94,49.32,4.25,irontogold,nerf
Yuumi,SUPPORT,6.74,49.39,5.87,irontogold,buff
Zyra,SUPPORT,3.86,51.08,1.78,irontogold,buff
Azir,MID,1.08,49.83,0.19,plattogm,buff
Elise,JUNGLE,6.3,52.4,12.42,plattogm,nerf
Ezreal,ADC,15.96,48.84,2.14,plattogm,buff
Graves,JUNGLE,3.52,47.74,1.5,plattogm,buff
Hecarim,JUNGLE,2.23,43.64,3.52,plattogm,buff
Lee Sin,TOP,8.35,50.77,27.34,plattogm,nerf
Lee Sin,JUNGLE,17.04,51.35,27.34,plattogm,nerf
Lee Sin,MID,3.52,51.53,27.34,plattogm,nerf
Leona,SUPPORT,12.1,51.57,19.01,plattogm,nerf
Morgana,JUNGLE,9.43,52.78,60.95,plattogm,nerf
Morgana,SUPPORT,4.27,50.88,60.95,plattogm,nerf
Qiyana,MID,5.99,50.88,11.01,plattogm,nerf
Rumble,JUNGLE,11,46.52,32.01,plattogm,nerf
Rumble,MID,1.61,50.19,32.01,plattogm,nerf
Rumble,TOP,1.7,48.59,32.01,plattogm,nerf
Ryze,MID,2.21,45.27,0.25,plattogm,buff
Ryze,TOP,0.71,43.68,0.25,plattogm,buff
Seraphine,SUPPORT,4.09,50.22,3.3,plattogm,buff
Seraphine,ADC,0.62,54.6,3.3,plattogm,buff
Seraphine,MID,0.83,51.47,3.3,plattogm,buff
Shaco,JUNGLE,7.17,53.33,22.32,plattogm,nerf
Shaco,SUPPORT,1.45,45.97,22.32,plattogm,nerf
Teemo,TOP,2.07,52.77,1.4,plattogm,buff
Teemo,MID,0.34,53.33,1.62,plattogm,buff
Urgot,TOP,5.08,52.72,4.7,plattogm,nerf
Urgot,MID,0.58,57.12,4.7,plattogm,nerf
Draven,ADC,4.63,48.77,4.31,plattogm,buff
Gnar,TOP,6.07,49.82,4.75,plattogm,nerf
Hecarim,JUNGLE,4.84,47.21,4.84,plattogm,buff
Illaoi,MID,0.12,54.77,1.45,plattogm,buff
Illaoi,TOP,1.43,48.94,1.24,plattogm,buff
Jarvan IV,JUNGLE,2.13,50.02,0.13,plattogm,buff
Malphite,TOP,4.59,50.3,7.49,plattogm,buff
Malphite,MID,1.04,48.08,7.49,plattogm,buff
Nasus,TOP,3.91,52.76,2.82,plattogm,nerf
Rammus,JUNGLE,1.95,50.98,4.58,plattogm,buff
Renekton,TOP,6.88,48.63,8.69,plattogm,nerf
Renekton,MID,1.82,50.52,8.69,plattogm,nerf
Udyr,JUNGLE,5.61,51.11,10.45,plattogm,nerf
Varus,ADC,9.86,48.71,4.69,plattogm,nerf
Wukong,TOP,6.99,53.56,6.43,plattogm,nerf
Wukong,MID,0.94,55.04,6.43,plattogm,nerf
Wukong,JUNGLE,1.22,53.13,6.52,plattogm,nerf
Ziggs,ADC,0.4,55.14,0.13,plattogm,buff
Ziggs,MID,1,48.12,0.13,plattogm,buff
Aphelios,ADC,5.04,48.32,0.86,plattogm,buff
Lee Sin,JUNGLE,18.04,50.75,26.42,plattogm,nerf
Lee Sin,TOP,5.45,50.46,26.42,plattogm,nerf
Lee Sin,MID,2.69,53.93,26.42,plattogm,nerf
Olaf,JUNGLE,1.75,49.44,1.32,plattogm,buff
Olaf,TOP,0.25,47.44,1.28,plattogm,buff
Riven,TOP,6.12,51.13,4.5,plattogm,nerf
Riven,MID,1.02,55.88,4.5,plattogm,nerf
Rumble,JUNGLE,7.99,47.78,10.29,plattogm,nerf
Rumble,MID,1.68,50.47,10.29,plattogm,nerf
Rumble,TOP,1.16,51.39,10.29,plattogm,nerf
Xayah,ADC,2.68,48.36,0.13,plattogm,buff
Akali,MID,10.24,48.23,27.36,plattogm,nerf
Akali,TOP,5.18,46.64,27.36,plattogm,nerf
Darius,TOP,3.67,49.69,17.67,plattogm,buff
Darius,MID,0.42,47.09,17.67,plattogm,buff
Garen,TOP,2.79,51.91,1.55,plattogm,buff
Garen,MID,0.54,53.05,1.86,plattogm,buff
Graves,JUNGLE,4.04,50.13,1.27,plattogm,buff
Illaoi,TOP,1.61,49.34,1.15,plattogm,buff
Ivern,JUNGLE,1.54,50.36,0.5,plattogm,buff
Karma,SUPPORT,13.88,48.23,7.21,plattogm,nerf
Karma,MID,1.56,49.65,7.21,plattogm,nerf
Malzahar,MID,3.47,54.13,2.77,plattogm,nerf
Malzahar,TOP,0.4,50.14,2.77,plattogm,nerf
Seraphine,SUPPORT,4.15,51.95,1.77,plattogm,buff
Seraphine,MID,1,53.95,1.77,plattogm,buff
Seraphine,ADC,0.74,54.04,1.77,plattogm,buff
Shaco,JUNGLE,7.72,52.73,29.74,plattogm,nerf
Shaco,SUPPORT,1.41,51.28,29.74,plattogm,nerf
Taric,SUPPORT,1.43,49.32,0.17,plattogm,buff
Xin Zhao,JUNGLE,15.57,54.06,31.83,plattogm,nerf
Ziggs,MID,2.93,50.92,1.09,plattogm,nerf
Ziggs,ADC,3.54,52.71,1.09,plattogm,nerf
Annie,MID,1.9,52.55,0.7,plattogm,nerf
Annie,SUPPORT,0.24,44.6,0.73,plattogm,nerf
Aurelion Sol,MID,1.04,48.78,0.27,plattogm,nerf
Blitzcrank,SUPPORT,4.33,49.79,4.89,plattogm,buff
Caitlyn,ADC,7.44,50.16,2.76,plattogm,buff
Cassiopeia,MID,2.29,52.97,0.97,plattogm,buff
Cassiopeia,ADC,0.29,55.63,0.98,plattogm,buff
Cassiopeia,TOP,0.56,51.07,0.98,plattogm,buff
Gwen,TOP,6.77,48.59,38.31,plattogm,nerf
Gwen,JUNGLE,2.82,51.05,38.31,plattogm,nerf
